title,url,tags,date
Who has the hardest World Cup 2014 draw? – interactive | Football | theguardian.com,http://www.theguardian.com/football/interactive/2013/dec/18/world-cup-2014-draw-strength-of-schedule,"portfolio,guardian,infographic,world_cup14,soccer",1388250029
NSA files decoded: Edward Snowden's surveillance revelations explained | World news | theguardian.com,http://www.theguardian.com/world/interactive/2013/nov/01/snowden-nsa-files-surveillance-revelations-decoded,"snowden,nsa,spying,interactive,portfolio,privacy,government,usa",1383420350
A Guardian guide to extradition | World news | guardian.co.uk,http://www.guardian.co.uk/world/interactive/2013/jul/02/guardian-guide-extradition-interactive,"NSA,snowden,portfolio,extradition,guardian,infographic",1373234835
